formula,atom a,atom b,lowest distortion,e_form,mu_b,vpa,gap pbe,a,alpha,beta,gamma,e_form oxygen
EuHfO3,Eu,Hf,orthorhombic,-3.844,0,12.898,4.521,5.623,90,90,90,6.69
EuThO3,Eu,Th,orthorhombic,-3.803,0,16.323,4.512,6.017,90,90,90,5.479
DyScO3,Dy,Sc,orthorhombic,-3.803,0,12.208,4.69,5.422,90,90,90,5.05
LaTmO3,La,Tm,orthorhombic,-3.8,0,14.634,4.59,5.814,90,90,90,5.056
AcLuO3,Ac,Lu,orthorhombic,-3.793,0,15.05,4.709,5.905,90,90,90,5.945
GdScO3,Gd,Sc,orthorhombic,-3.789,0,12.399,4.618,5.462,90,90,90,5.136
LaScO3,La,Sc,orthorhombic,-3.789,0,13.241,4.099,5.653,90,90,90,5.579
LaLuO3,La,Lu,rhombohedral,-3.782,0,14.353,4.557,5.841,60.8,60.8,60.8,5.238
LaErO3,La,Er,orthorhombic,-3.776,0,14.809,4.586,5.832,90,90,90,4.912
AcTmO3,Ac,Tm,orthorhombic,-3.772,0,15.361,4.565,5.94,90,90,90,5.793
NdLuO3,Nd,Lu,orthorhombic,-3.769,0,14.002,5.041,5.699,90,90,90,4.963
SmScO3,Sm,Sc,orthorhombic,-3.76,0,12.664,4.491,5.511,90,90,90,5.249
LaHoO3,La,Ho,orthorhombic,-3.759,0,14.973,4.546,5.849,90,90,90,4.805
NdScO3,Nd,Sc,orthorhombic,-3.736,0,12.923,4.473,5.565,90,90,90,5.348
CeLuO3,Ce,Lu,orthorhombic,-3.736,0,14.375,5.074,5.767,90,90,90,5.161
AcHoO3,Ac,Ho,orthorhombic,-3.731,0,15.716,4.552,5.975,90,90,90,5.577
PrTmO3,Pr,Tm,orthorhombic,-3.729,0,14.447,5.007,5.763,90,90,90,4.856
PrScO3,Pr,Sc,orthorhombic,-3.721,0,13.073,4.487,5.596,90,90,90,5.422
NpScO3,Np,Sc,orthorhombic,-3.713,0.8,13.01,2.627,5.587,90,90,90,5.6
AcDyO3,Ac,Dy,orthorhombic,-3.712,0,15.895,4.542,5.989,90,90,90,5.48
CeTmO3,Ce,Tm,orthorhombic,-3.711,0,14.65,5.086,5.798,90,90,90,4.953
PrErO3,Pr,Er,orthorhombic,-3.704,0,14.623,4.898,5.781,90,90,90,4.728
CeScO3,Ce,Sc,orthorhombic,-3.701,0,13.251,4.42,5.638,90,90,90,5.523
NpErO3,Np,Er,orthorhombic,-3.699,0.8,14.56,2.83,5.781,90,90,90,5.227
AcYO3,Ac,Y,orthorhombic,-3.693,0,15.939,4.608,5.993,90,90,90,5.419
EuZrO3,Eu,Zr,orthorhombic,-3.691,0,13.299,4.134,5.661,90,90,90,6.201
CeErO3,Ce,Er,orthorhombic,-3.686,0,14.812,4.972,5.815,90,90,90,4.842
AcGdO3,Ac,Gd,orthorhombic,-3.67,0,16.276,4.335,6.029,90,90,90,5.268
CeHoO3,Ce,Ho,orthorhombic,-3.669,0,14.992,4.92,5.836,90,90,90,4.722
CaHfO3,Ca,Hf,orthorhombic,-3.669,0,12.605,4.716,5.541,90,90,90,6.417
YbZrO3,Yb,Zr,orthorhombic,-3.661,0,12.652,4.217,5.525,90,90,90,5.935
SrHfO3,Sr,Hf,orthorhombic,-3.653,0,13.589,4.43,5.751,90,90,90,6.856
CeDyO3,Ce,Dy,orthorhombic,-3.65,0,15.149,5.054,5.856,90,90,90,4.606
SrThO3,Sr,Th,orthorhombic,-3.649,0,17.178,4.252,6.145,90,90,90,5.721
BaHfO3,Ba,Hf,cubic,-3.625,0,14.549,3.687,4.174,90,90,90,6.962
