formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,c,alpha,gamma,e_form oxygen
MnEuO3,Mn,Eu,rhombohedral,-2.303,0.312,0.6,14.615,1.5,6.143,6.143,55.3,55.3,-4.666
TmTlO3,Tm,Tl,orthorhombic,-2.301,0.133,0,13.813,0.887,5.48,8.656,90,90,0.355
SmUO3,Sm,U,cubic,-2.301,1.269,0.581,22.751,0,4.845,4.845,90,90,-1.117
NaYO3,Na,Y,orthorhombic,-2.301,0.19,0,13.021,2.772,6.06,7.015,90,90,-1.333
LuTlO3,Lu,Tl,orthorhombic,-2.3,0.149,0,13.621,1.053,5.447,8.636,90,90,0.315
TmYbO3,Tm,Yb,cubic,-2.299,1.07,-0.126,13.643,0,4.086,4.086,90,90,-2.262
LiVO3,Li,V,tetragonal,-2.299,0.074,0,11.23,0.815,3.608,4.312,90,90,2.005
BiThO3,Bi,Th,cubic,-2.299,0.735,0,19.106,0,4.571,4.571,90,90,1.158
SmAcO3,Sm,Ac,cubic,-2.298,1.342,0,20.308,0,4.665,4.665,90,90,1.391
BaEuO3,Ba,Eu,orthorhombic,-2.298,0.331,0.4,17.647,0,6.296,8.729,90,90,-0.631
LaSnO3,La,Sn,cubic,-2.298,0.525,0.003,14.488,0,4.169,4.169,90,90,2.916
TlScO3,Tl,Sc,orthorhombic,-2.296,0.077,0,12.484,1.265,5.49,8.053,90,90,-2.416
SmWO3,Sm,W,cubic,-2.296,0.534,0.003,12.562,0,3.975,3.975,90,90,1.933
PmCaO3,Pm,Ca,cubic,-2.296,0.833,0.2,14.252,0,4.146,4.146,90,90,-2.197
ErCuO3,Er,Cu,orthorhombic,-2.296,0.052,0,10.81,0.269,5.179,7.137,90,90,0.539
PaCdO3,Pa,Cd,orthorhombic,-2.295,0.072,0.2,14.24,1.702,5.684,8.178,90,90,-1.407
VUO3,V,U,cubic,-2.295,0.901,0.601,15.994,0,4.308,4.308,90,90,1.009
SrTcO3,Sr,Tc,orthorhombic,-2.295,-0.097,0.254,12.379,0,5.587,7.918,90,90,4.148
GaThO3,Ga,Th,cubic,-2.295,0.948,-0.178,18.411,0,4.515,4.515,90,90,-0.24
CeNiO3,Ce,Ni,orthorhombic,-2.294,-0.037,0.2,11.311,0,5.387,7.673,90,90,1.523
CeRuO3,Ce,Ru,orthorhombic,-2.294,0.037,0.198,12.6,0,5.43,7.867,90,90,1.968
PaCuO3,Pa,Cu,orthorhombic,-2.294,0.131,0,11.809,1.402,5.311,7.435,90,90,0.156
LiCeO3,Li,Ce,orthorhombic,-2.294,0.148,0,12.915,2.519,5.819,7.376,90,90,-2.253
SbEuO3,Sb,Eu,orthorhombic,-2.293,0.141,0,15.219,0,5.83,8.645,90,90,-7.438
AsEuO3,As,Eu,orthorhombic,-2.292,0.022,0,14.25,0,5.528,8.683,90,90,-8.456
CoTbO3,Co,Tb,rhombohedral,-2.29,0.117,0.799,13.606,1.573,6.025,6.025,54.8,54.8,-4.123
CdThO3,Cd,Th,cubic,-2.29,0.747,-0.044,18.683,0,4.537,4.537,90,90,-1.197
PmEuO3,Pm,Eu,cubic,-2.289,0.908,0.114,15.528,0,4.266,4.266,90,90,-1.453
LuPaO3,Lu,Pa,cubic,-2.289,1.086,0.199,17.731,0,4.459,4.459,90,90,2.285
HoCuO3,Ho,Cu,orthorhombic,-2.288,0.051,0,10.867,0,5.195,7.163,90,90,0.608
CeRhO3,Ce,Rh,orthorhombic,-2.288,-0.061,0,12.631,0.671,5.469,7.893,90,90,1.093
LaTlO3,La,Tl,orthorhombic,-2.287,0.038,0,15.167,1.302,5.817,8.46,90,90,1.289
HoTlO3,Ho,Tl,orthorhombic,-2.287,0.118,0,13.943,1.11,5.534,8.549,90,90,0.482
AcReO3,Ac,Re,orthorhombic,-2.286,0.273,0.215,13.361,0,5.556,8.046,90,90,2.924
ThPaO3,Th,Pa,cubic,-2.285,1.186,0.524,18.025,0,4.483,4.483,90,90,0.112
YMoO3,Y,Mo,cubic,-2.285,0.618,0.006,12.384,0,3.956,3.956,90,90,1.87
NpZnO3,Np,Zn,cubic,-2.285,0.601,0.763,11.603,0,3.871,3.871,90,90,0.507
ScGaO3,Sc,Ga,cubic,-2.283,0.672,0,10.576,1.582,3.753,3.753,90,90,3.32
DyCuO3,Dy,Cu,orthorhombic,-2.282,0.047,0,10.964,0.256,5.205,7.189,90,90,0.68
DyLiO3,Dy,Li,orthorhombic,-2.281,0.326,0.4,10.375,0,4.991,7.215,90,90,-1.307
TbYbO3,Tb,Yb,cubic,-2.281,0.903,0.196,13.774,0,4.099,4.099,90,90,-1.819
CoCeO3,Co,Ce,orthorhombic,-2.281,0.141,0.8,15.922,1.578,5.549,8.943,90,90,-5.095
ZnAcO3,Zn,Ac,orthorhombic,-2.28,0.17,0.2,15.115,0,5.779,8.703,90,90,-3.996
ZnHfO3,Zn,Hf,cubic,-2.279,0.684,0,13.271,0,4.048,4.048,90,90,0.175
MgScO3,Mg,Sc,cubic,-2.279,0.812,0.001,12.847,0,4.005,4.005,90,90,-2.243
DyMoO3,Dy,Mo,cubic,-2.278,0.616,0.005,12.338,0,3.951,3.951,90,90,1.68
TlYO3,Tl,Y,orthorhombic,-2.278,0.095,0,14.368,1.095,5.787,8.465,90,90,-3.435
HgZrO3,Hg,Zr,rhombohedral,-2.276,0.086,0,13.384,1.717,5.821,5.821,58.2,58.2,0.184
EuYbO3,Eu,Yb,cubic,-2.275,0.487,0.083,13.857,0,4.107,4.107,90,90,-1.411
ZnNdO3,Zn,Nd,orthorhombic,-2.275,0.258,0.2,13.873,0.509,5.458,8.694,90,90,-4.769
HoCeO3,Ho,Ce,cubic,-2.274,1.423,0,18.614,0,4.532,4.532,90,90,-3.213
TaTlO3,Ta,Tl,orthorhombic,-2.274,0.183,0,18.318,2.48,5.884,9.831,90,90,-7.196
PbTbO3,Pb,Tb,orthorhombic,-2.273,0.124,0.001,15.019,0,5.822,8.503,90,90,-0.948
