formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,gap pbe,a,alpha,beta
RhNbO3,Rh,Nb,cubic,-1.463,0.675,0.4,0,3.983,90,90
RhNbO3,Rh,Nb,cubic,-1.463,0.675,0.4,0,3.983,90,90
PtCaO3,Pt,Ca,rhombohedral,-1.463,0.38,-0.001,0.544,6.031,57,57
GeTbO3,Ge,Tb,cubic,-1.46,1.17,0.201,0,4.296,90,90
ErBiO3,Er,Bi,cubic,-1.46,1.225,0,0,4.359,90,90
SbNdO3,Sb,Nd,cubic,-1.457,1.221,0.039,0,4.477,90,90
GeSmO3,Ge,Sm,cubic,-1.457,1.243,-0.022,0,4.381,90,90
HgDyO3,Hg,Dy,cubic,-1.457,0.649,0.233,0,4.332,90,90
HfCuO3,Hf,Cu,cubic,-1.456,1.17,0,0,3.681,90,90
SbLaO3,Sb,La,cubic,-1.456,1.241,-0.092,0,4.517,90,90
LuCdO3,Lu,Cd,cubic,-1.455,1.021,0,0,4.071,90,90
NiSiO3,Ni,Si,cubic,-1.453,0.91,0.4,0,3.495,90,90
CdPrO3,Cd,Pr,cubic,-1.452,0.831,0.211,0,4.474,90,90
TbPtO3,Tb,Pt,cubic,-1.451,0.677,0,0,4.013,90,90
FeTmO3,Fe,Tm,cubic,-1.45,1.373,1.003,0,4.187,90,90
PtSrO3,Pt,Sr,rhombohedral,-1.45,0.258,0,0.793,6.063,61.2,61.2
RhNpO3,Rh,Np,cubic,-1.449,1.089,0.765,0,4.226,90,90
YTeO3,Y,Te,cubic,-1.446,1.093,0.01,0,4.233,90,90
RbMnO3,Rb,Mn,tetragonal,-1.445,0.293,0.4,0,3.64,90,90
BePuO3,Be,Pu,cubic,-1.444,1.699,0.69,0,4.279,90,90
DyTlO3,Dy,Tl,cubic,-1.444,0.95,0,0,4.232,90,90
BTaO3,B,Ta,cubic,-1.443,1.307,0,2.039,3.945,90,90
PbTcO3,Pb,Tc,rhombohedral,-1.442,0.107,0.329,0,5.598,60.7,60.7
DyNaO3,Dy,Na,cubic,-1.441,1.064,0.399,0,3.915,90,90
ErPbO3,Er,Pb,cubic,-1.44,1.125,0,0,4.273,90,90
TaUO3,Ta,U,cubic,-1.439,1.729,0.966,0,4.323,90,90
ZnReO3,Zn,Re,rhombohedral,-1.439,0.245,0,0,5.145,63.5,63.5
RuPaO3,Ru,Pa,cubic,-1.439,0.8,0.616,0,4.354,90,90
VGaO3,V,Ga,cubic,-1.438,0.928,0.4,0,3.758,90,90
GePmO3,Ge,Pm,cubic,-1.437,1.251,0.2,0,4.397,90,90
ZnYO3,Zn,Y,cubic,-1.436,1.128,0.216,0,4.296,90,90
SiErO3,Si,Er,cubic,-1.435,1.971,-0.2,0,4.235,90,90
YNaO3,Y,Na,cubic,-1.435,1.056,0.4,0,3.927,90,90
CrMnO3,Cr,Mn,cubic,-1.433,0.817,1.4,0,3.737,90,90
