e_form,vpa,gap pbe,a,c,beta,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData minimum Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData mean NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData avg_dev SpaceGroupNumber
-2.303,14.615,1.5,6.143,6.143,55.3,55.3,-4.666,8.0,63.0,55.0,22.4,17.28,8.0,87.0,62.0,67.6,23.28,87.0,15.9994,50.980049,41.9767788,15.9994,54.8,1464.2,555.68,54.8,3.0,13.0,11.6,5.28,2.0,3.2,1.44,2.0,66.0,49.2,66.0,1.185,2.255,0.9948,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,5.0,1.0,0.0,7.0,7.0,1.4,6.0,3.0,6.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,1.6,0.0,0.0,7.0,0.0,2.0,1.92,14.85251724,8.642993103,9.105,0.0,0.0,0.0,0.0,0.000310121,0.000310121,6.2e-05,9.92e-05,0.0,101.28
-2.301,13.813,0.887,5.48,8.656,90.0,90.0,0.355,8.0,81.0,73.0,34.8,32.16,8.0,87.0,50.0,74.8,15.12,87.0,15.9994,84.263142,81.9164904,15.9994,54.8,1763.2,511.88,54.8,3.0,13.0,12.8,3.92,2.0,3.6,1.92,2.0,66.0,48.72,66.0,1.25,2.19,0.9624,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.0,0.0,14.0,14.0,5.4,6.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.04,16.801,9.2352,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36
-2.301,22.751,0.0,4.845,4.845,90.0,90.0,-1.117,8.0,92.0,84.0,35.6,33.12,8.0,87.0,67.0,60.8,31.44,87.0,15.9994,87.277422,85.5336264,15.9994,54.8,1353.2,583.48,54.8,3.0,13.0,10.8,6.24,2.0,3.8,2.16,2.0,66.0,62.88,66.0,1.17,2.27,1.0392,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.2,0.0,6.0,6.0,1.8,6.0,2.0,6.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,11.0,0.0,2.0,5.76,16.114,8.4108,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2
-2.301,13.021,2.772,6.06,7.015,90.0,90.0,-1.333,8.0,39.0,31.0,14.8,9.68,8.0,87.0,85.0,55.0,38.4,87.0,15.9994,31.97876386,22.77083446,15.9994,54.8,1744.2,466.854,54.8,1.0,15.0,10.4,6.72,2.0,2.8,0.96,2.0,66.0,53.76,66.0,0.93,2.51,1.1352,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.0,5.0,4.4,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,1.0,2.32,17.78466667,10.4156,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.76
-2.3,13.621,1.053,5.447,8.636,90.0,90.0,0.315,8.0,81.0,73.0,35.2,32.64,8.0,87.0,46.0,75.6,13.84,87.0,15.9994,85.46966,83.364312,15.9994,54.8,1881.2,535.48,54.8,3.0,13.0,12.8,3.92,2.0,3.6,1.92,2.0,66.0,48.0,66.0,1.27,2.17,0.9576,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.2,0.0,14.0,14.0,5.6,6.0,21.0,12.4,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,2.0,2.4,16.618,9.0156,9.105,0.0,0.0,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,87.36
-2.299,13.643,0.0,4.086,4.086,90.0,90.0,-2.262,8.0,70.0,62.0,32.6,29.52,8.0,87.0,50.0,67.4,23.52,87.0,15.9994,77.997282,74.3974584,15.9994,54.8,1763.2,614.88,54.8,3.0,13.0,10.8,6.24,2.0,3.6,1.92,2.0,66.0,58.8,66.0,1.25,2.19,1.0488,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,5.4,6.0,10.0,9.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72,18.243,10.9656,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8
-2.299,11.23,0.815,3.608,4.312,90.0,90.0,2.005,3.0,23.0,20.0,10.0,5.2,8.0,87.0,86.0,61.6,30.48,87.0,6.941,21.17614,11.906144,15.9994,54.8,2128.2,560.218,54.8,1.0,15.0,10.8,6.24,2.0,2.4,0.64,2.0,66.0,35.76,66.0,0.98,2.46,1.0248,3.44,1.0,1.0,0.32,2.0,0.0,4.0,4.0,3.0,3.0,0.6,0.0,0.0,0.0,0.0,1.0,5.0,4.8,0.0,1.0,0.2,0.0,0.0,2.0,2.0,2.0,0.0,7.0,1.4,2.24,0.0,0.0,0.0,0.0,1.0,1.68,11.38366667,2.7344,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.16
-2.299,19.106,0.0,4.571,4.571,90.0,90.0,1.158,8.0,90.0,82.0,39.4,37.68,8.0,87.0,71.0,72.6,22.64,87.0,15.9994,97.803332,98.1647184,15.9994,54.8,1968.2,546.36,54.8,3.0,13.0,13.2,4.08,2.0,3.8,2.16,2.0,66.0,53.28,66.0,1.3,2.14,0.8544,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,10.0,10.0,2.4,0.0,14.0,14.0,2.8,4.0,25.0,10.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,8.0,1.6,2.56,0.0,0.0,0.0,0.0,2.0,1.84,18.527,11.3064,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.16
-2.298,20.308,0.0,4.665,4.665,90.0,90.0,1.391,8.0,89.0,81.0,35.0,32.4,8.0,87.0,73.0,59.6,32.88,87.0,15.9994,85.07164,82.886688,15.9994,54.8,1290.2,566.48,54.8,3.0,13.0,10.8,6.24,2.0,3.8,2.16,2.0,66.0,67.44,66.0,1.1,2.34,1.1064,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.2,0.0,6.0,6.0,1.2,3.0,5.0,5.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,9.0,1.8,2.88,0.0,0.0,8.0,0.0,2.0,3.12,21.0115,14.2878,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.08
-2.298,17.647,0.0,6.296,8.729,90.0,90.0,-0.631,8.0,63.0,55.0,28.6,24.72,8.0,87.0,78.0,59.0,33.6,87.0,15.9994,67.45784,61.750128,15.9994,54.8,1040.2,451.88,54.8,2.0,14.0,10.6,6.48,2.0,3.6,1.92,2.0,66.0,67.44,66.0,0.89,2.55,1.1532,3.44,2.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,1.4,2.0,7.0,5.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.76,25.473,19.6416,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.16
