e_form,e_hull,vpa,gamma,e_form oxygen,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData maximum Column,MagpieData minimum Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData range NsValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mode NpValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData mode NdValence,MagpieData range NfValence,MagpieData maximum NValence,MagpieData range NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData mean NpUnfilled,MagpieData minimum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum GSbandgap,MagpieData range GSbandgap,MagpieData avg_dev GSmagmom,MagpieData mean SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state
-1.463,0.675,12.642,90.0,2.003,8.0,45.0,22.0,8.0,47.0,87.0,73.4,102.9055,39.3151392,15.9994,54.8,2750.0,2695.2,1170.576,16.0,2.0,1.44,2.0,41.76,66.0,1.84,2.84,1.0,4.0,4.0,4.0,8.0,2.4,0.0,0.0,9.0,1.0,0.48,0.0,2.0,1.2,0.0,6.0,1.6,0.0,0.0,0.0,0.0,3.2,1.52,2.0,11.827,3.2664,0.0,0.0,0.0,98.0,12.0,-2.0,3.0
-1.463,0.675,12.642,90.0,2.003,8.0,45.0,22.0,8.0,47.0,87.0,73.4,102.9055,39.3151392,15.9994,54.8,2750.0,2695.2,1170.576,16.0,2.0,1.44,2.0,41.76,66.0,1.84,2.84,1.0,4.0,4.0,4.0,8.0,2.4,0.0,0.0,9.0,1.0,0.48,0.0,2.0,1.2,0.0,6.0,1.6,0.0,0.0,0.0,0.0,3.2,1.52,2.0,11.827,3.2664,0.0,0.0,0.0,98.0,12.0,-2.0,3.0
-1.463,0.38,14.441,57.0,-10.427,8.0,78.0,24.4,8.0,7.0,87.0,66.2,195.084,55.380784,15.9994,54.8,2041.4,1986.6,731.232,16.0,2.0,1.44,2.0,43.2,66.0,2.44,2.72,1.0,4.0,4.0,4.0,9.0,1.8,0.0,14.0,24.0,1.0,0.32,0.0,2.0,1.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.6,0.64,2.0,16.021,8.6996,0.0,0.0,0.0,97.2,12.0,-2.0,4.0
-1.46,1.17,15.855,90.0,-3.122,8.0,65.0,24.2,8.0,29.0,87.0,73.8,158.92535,47.895972,15.9994,54.8,1629.0,1574.2,655.392,16.0,2.0,1.44,2.0,43.68,66.0,2.23,2.708,0.0,4.0,4.0,4.0,10.0,2.0,0.0,9.0,14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,5.0,1.6,0.0,3.0,1.2,2.0,16.41133333,8.7676,0.0,0.383,0.0,91.0,12.0,-2.0,3.0
-1.46,1.225,16.569,90.0,0.529,8.0,83.0,35.0,8.0,35.0,87.0,76.4,208.9804,82.617744,15.9994,54.8,1770.0,1715.2,529.152,16.0,2.0,1.92,2.0,49.2,66.0,2.2,2.716,0.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,29.0,0.0,0.0,0.0,3.0,1.8,0.0,0.0,0.0,2.0,2.0,0.64,0.0,2.2,0.32,2.0,18.17,10.878,0.0,0.0,0.0,48.4,12.0,-2.0,3.0
-1.457,1.221,17.95,90.0,-5.116,8.0,60.0,27.0,8.0,19.0,87.0,73.0,144.242,56.160768,15.9994,54.8,1294.0,1239.2,501.1632,16.0,2.0,1.68,2.0,49.92,66.0,2.3,2.702,0.0,4.0,4.0,4.0,10.0,2.0,0.0,4.0,15.0,0.0,0.0,0.0,3.0,1.8,0.0,0.0,0.0,10.0,10.0,3.2,0.0,3.8,2.48,2.0,18.737,11.5584,0.0,0.0,0.0,79.2,12.0,-2.0,3.0
-1.457,1.243,16.819,90.0,-3.71,8.0,62.0,23.6,8.0,23.0,87.0,72.6,150.36,45.840288,15.9994,54.8,1345.0,1290.2,587.232,16.0,2.0,1.44,2.0,44.64,66.0,2.27,2.7,0.0,4.0,4.0,4.0,10.0,2.0,0.0,6.0,14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0,8.0,2.56,0.0,3.6,1.92,2.0,16.71,9.126,0.0,0.383,0.0,85.4,12.0,-2.0,4.0
-1.457,0.649,16.261,90.0,-3.017,8.0,80.0,34.0,8.0,31.0,87.0,72.6,200.59,79.461888,15.9994,54.8,1685.0,1630.2,507.3024,16.0,2.0,1.92,2.0,46.08,66.0,2.22,2.708,0.0,4.0,4.0,4.0,10.0,2.0,0.0,14.0,26.0,0.0,0.0,0.0,2.0,1.2,0.0,0.0,0.0,4.0,4.0,1.28,0.0,2.0,0.8,2.0,16.75851724,9.18422069,0.0,0.0,0.0,79.2,12.0,0.0,0.0
-1.456,1.17,9.972,90.0,-0.388,8.0,72.0,25.0,8.0,45.0,87.0,74.0,178.49,50.408928,15.9994,54.8,2506.0,2451.2,901.0008,16.0,2.0,1.44,2.0,42.0,66.0,2.14,2.704,1.0,4.0,4.0,4.0,10.0,2.4,0.0,14.0,18.0,1.0,0.32,0.0,2.0,1.2,0.0,8.0,1.6,0.0,0.0,0.0,0.0,3.0,2.0,2.0,12.117,4.0332,0.0,0.0,0.0,91.0,12.0,-2.0,4.0
-1.456,1.241,18.435,90.0,-5.407,8.0,57.0,26.4,8.0,13.0,87.0,71.8,138.90547,54.8800008,15.9994,54.8,1193.0,1138.2,476.9232,16.0,2.0,1.68,2.0,51.36,66.0,2.34,2.694,0.0,4.0,4.0,4.0,10.0,2.2,0.0,0.0,15.0,0.0,0.0,0.0,3.0,1.8,0.0,9.0,1.8,0.0,0.0,0.0,0.0,3.6,2.16,2.0,19.1545,12.0594,0.0,0.0,0.0,79.2,12.0,-2.0,3.0
